"tab_id";"tab_name";"parent_tab_id"
1;"首页";0
2;"酒店";0
3;"旅游";0
4;"跟团游";0
5;"自由行";0
6;"机票";0
7;"火车";0
8;"汽车票";0
9;"用车";0
10;"门票";0
11;"攻略";0
12;"全球购";0
13;"礼品卡";0
14;"商旅";0
15;"目的地";0
16;"更多";0
17;"旅游首页";3
18;"周末游";3
19;"跟团游";3
20;"自由行";3
21;"邮轮";3
22;"酒店+景点";3
23;"当地玩乐";3
24;"主题游";3
25;"定制旅行";3
26;"游学";3
27;"签证";3
28;"企业会奖";3
29;"高端游";3
30;"爱玩户外";3
31;"保险";3
32;"特卖汇";3
33;"国内酒店";2
34;"海外酒店";2
35;"民宿客栈";2
36;"团购";2
37;"特价酒店";2
38;"酒店+景点";2
39;"团队房+长住房";2
40;"会议";2
41;"国内机票";6
42;"国际+港澳台机票";6
43;"特价机票";6
44;"机+酒";6
45;"航班动态";6
46;"值机选座";6
47;"退票改签";6
48;"机场攻略";6
49;"国内火车票";7
50;"国际+港台火车票";7
51;"汽车票";8
52;"船票";8
53;"游艇帆船";8
54;"到站游";8
55;"境内门票";10
56;"出境+港澳台门票";10
57;"当地玩乐";10
58;"出境WiFi+电话卡";10
59;"周末游";10
60;"长隆";10
61;"名店购";12
62;"退税";12
63;"银联特惠";12
64;"万千赏";12
65;"外币兑换";12
66;"礼品卡首页";13
67;"节日/主题购卡";13
68;"礼品卡福袋";13
69;"企业采购";13
70;"兑换券";13
71;"外币兑换";13
72;"礼品卡订单>";13
73;"商旅首页";14
74;"企业差旅平台";14
75;"会议旅游";14
76;"金融";16
77;"优品商场";16
78;"超级会员";16
79;"团购";16
80;"合作卡";16
81;"携程运动";16
